"Entity ID","Entity label","Entity type","Parent class","Term editor","Source"
"ID","AL label@en","TYPE","SC subclass","AI term editor","AI definition source"
"SFWO:0000268","protists.heterotrophs","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000269","protists.phagotrophs","class","protists.heterotrophs","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000270","protists.testate_amoebae","class","protists.heterotrophs","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000271","protists.zooparasites","class","protists.heterotrophs","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000272","protists.plant_pathogens","class","protists.heterotrophs","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000273","Nematoda.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000274","Nematoda.herbivores","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000275","Nematoda.bacterivores","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000276","Nematoda.fungivores","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000277","Nematoda.omnivores","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000278","Nematoda.predators","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000279","Nematoda.zooparasites","class","Nematoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000280","Rotifera.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000281","Rotifera.bacterivores","class","Rotifera.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000282","Rotifera.predators","class","Rotifera.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000283","Tardigrada.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000284","Tardigrada.herbivores_fungivores_bacterivores","class","Tardigrada.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000285","Tardigrada.omnivores_predators","class","Tardigrada.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000286","Oribatida.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000287","Oribatida.herbivores_lichen_feeders","class","Oribatida.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000288","Oribatida.detritivores","class","Oribatida.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000289","Oribatida.microbivores","class","Oribatida.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000290","Oribatida.predators_scavengers","class","Oribatida.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000291","Mesostigmata.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000292","Astigmata.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000293","Prostigmata.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000294","Acari.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000295","Pseudoscorpiones.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000296","Symphyla.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000297","Pauropoda.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000298","Diplura.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000299","Diplura.detritivores","class","Diplura.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000300","Diplura.predators","class","Diplura.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000301","Protura.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000302","Collembola.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000303","Collembola.algivores","class","Collembola.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000304","Collembola.detritivores","class","Collembola.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000305","Collembola.Neanuridae","class","Collembola.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000306","Collembola.Onychiuridae","class","Collembola.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000307","Araneae.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000308","Araneae.small","class","Araneae.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000309","Araneae.small.wanderers","class","Araneae.small","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000310","Araneae.small.weavers","class","Araneae.small","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000311","Araneae.large","class","Araneae.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000312","Araneae.large.wanderers","class","Araneae.large","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000313","Araneae.large.weavers","class","Araneae.large","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000314","Opiliones.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000315","Diplopoda.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000316","Diplopoda.small","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000317","Diplopoda.algivores","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000318","Diplopoda.litter_dwellers","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000319","Diplopoda.fungivores","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000320","Diplopoda.omnivores","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000321","Diplopoda.humiphages","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000322","Diplopoda.xylophiles","class","Diplopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000323","Chilopoda.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000324","Chilopoda.Geophilomorpha","class","Chilopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000325","Chilopoda.Scolopendromorpha","class","Chilopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000326","Chilopoda.Lithobiomorpha","class","Chilopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000327","Chilopoda.Scutigeromorpha","class","Chilopoda.all","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000328","Isopoda.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
"SFWO:0000329","Dermaptera.all","class","trophic group","http://orcid.org/0000-0003-4559-7579","https://doi.org/10.1111/brv.12832"
